name,category,rating,city,cost_per_plate,decoration,makeup_artist,dj,photography
Aapno Ghar Resort,banquet-halls,4.5,gurgaon,1750,110400,27000,12000,49300
Nikko Premier,banquet-halls,4.7,gurgaon,999,71800,14100,9800,38300
Ramada Gurgaon Central,banquet-halls,4.6,gurgaon,2000,122900,29000,10700,60500
Corus Banquet And Conventions,banquet-halls,4.9,gurgaon,1000,73500,18000,13200,38600
Ramada Gurgaon Central,banquet-halls,4.6,gurgaon,2000,115900,29400,12500,60500
Grand Imperia Banquet,banquet-halls,4.6,gurgaon,1300,89300,21800,10900,48600
Infinity Stays,banquet-halls,4.6,gurgaon,650,52400,16000,10700,32200
The Acura Bmk,banquet-halls,4.8,gurgaon,1000,77200,15800,12500,43600
Country Inn & Suites By Radisson Sohna Road Gurgaon,banquet-halls,4.9,gurgaon,1600,109600,25400,11300,54700
Country Inn & Suites By Radisson Sohna Road Gurgaon,banquet-halls,4.8,gurgaon,1600,99900,25200,9500,47500
Corus Banquet And Conventions,banquet-halls,4.8,gurgaon,1000,71300,14700,10900,38500
Hotel Silver Leaf,banquet-halls,3.7,noida,399,43500,9700,8900,20700
Amaatra Banquet Gaur City By Golden Plate,banquet-halls,4.6,noida,1000,73700,19700,9900,37600
Hibiscus Select Hotel,banquet-halls,4.8,noida,1200,82200,15800,12800,46900
The Mayfair Grand Banquets,banquet-halls,4.8,noida,2500,145300,31000,13500,66300
Spize Barbeque,banquet-halls,4.6,noida,600,47100,15800,9200,28300
Golden Leaf Noida By Surya Palace,banquet-halls,3.9,noida,800,67100,13100,13700,36700
Imperial Banquet,banquet-halls,4.3,noida,899,60000,15900,13400,37300
Saffron Banquet By City Stay,banquet-halls,4.4,noida,849,65500,16500,12400,35800
Ganeshwaram,banquet-halls,4.7,noida,900,62600,16500,9500,40600
The White Palace By Khanak,banquet-halls,4.6,noida,1200,80500,17100,14200,44200
The Mayfair Grand Banquets,banquet-halls,4.8,noida,2500,153400,33900,12000,64000
Frolic Farm & Banquet,banquet-halls,3.9,noida,1200,77000,20400,10000,35700
Hotel Elite Peak,banquet-halls,4.2,noida,799,57600,15000,8400,34400
Bellmont Hotel,banquet-halls,3.8,noida,1000,74700,15000,8300,30700
Tivoli Lotus Court,banquet-halls,4.7,noida,2500,145300,29100,12400,60500
Frolic Farm & Banquet,banquet-halls,4.5,noida,1200,80600,16600,14500,35600
Hotel Marks Inn And Banquet,banquet-halls,4.6,noida,700,56700,11000,11400,35500
Golden Leaf Banquets,banquet-halls,4.9,noida,800,55400,13300,11400,40000
The Eliot Hotel & Banquets,banquet-halls,4.6,noida,1000,79000,17900,9900,43500
Hoppers X Burash,banquet-halls,4.8,noida,700,62700,16800,9900,38700
Vizima Hotel & Banquet,banquet-halls,4.6,noida,550,57100,10300,14000,22700
The City Light Banquet,banquet-halls,4.8,noida,1200,87700,21700,14800,47300
Noida Business Suites,banquet-halls,4.6,noida,550,48400,10900,11600,33200
The Alpha Banquet 31,banquet-halls,3.6,noida,550,46100,13800,9700,28900
The Ritvaan,banquet-halls,4.9,noida,950,73000,18000,13500,41100
Golden Leaf Banquets,banquet-halls,4.9,noida,800,61200,17900,12100,33000
Hotel The Anvi Residency,banquet-halls,4.6,noida,900,63100,16400,11900,36900
The Ancient Barbeque,banquet-halls,4.8,noida,550,48800,13400,8600,22400
Regenta Inn Jaipur,banquet-halls,4.6,jaipur,750,60900,13100,12800,26000
Lords Plaza Hotel,banquet-halls,4.6,jaipur,500,54200,14400,9900,30300
Stardom Resort Jaipur,banquet-halls,4.8,jaipur,1500,103100,21700,9300,50900
Lords Plaza Hotel,banquet-halls,4.6,jaipur,500,43100,8000,8600,21100
Lords Plaza Hotel,banquet-halls,4.6,jaipur,500,47200,10600,8400,21800
Lords Plaza Hotel,banquet-halls,4.6,jaipur,500,52800,8500,12200,34600
Lords Plaza Hotel,banquet-halls,4.6,jaipur,500,42500,13400,11600,26000
Stardom Resort Jaipur,banquet-halls,4.8,jaipur,1500,101800,20200,10200,44500
Apex Intercontinental,banquet-halls,3.0,jaipur,300,44000,6500,12400,27100
Lebua Resort,banquet-halls,4.0,jaipur,750,61500,17200,9100,34600
Hotel Om Tower,banquet-halls,4.0,jaipur,550,56900,13500,13600,21700
Hotel Bliss,banquet-halls,3.4,jaipur,450,40200,12200,14400,22400
Hotel Seven Seas,banquet-halls,3.0,jaipur,550,56700,14600,14200,27000
Hotel V Inn Jaipur,banquet-halls,4.0,jaipur,600,56000,11300,8400,23400
Hotel S 57,banquet-halls,4.0,jaipur,550,50700,13700,13800,29300
Divine Boutique Hotel,banquet-halls,4.0,jaipur,400,44800,12300,10600,32400
Murliwalas Garden,banquet-halls,3.0,jaipur,950,67600,19200,11400,33100
Hotel Kiran Palace,banquet-halls,3.0,jaipur,600,59900,16000,13600,29000
Hotel Mohan,banquet-halls,3.0,jaipur,350,40600,11100,14100,25600
Jaipur Marriott Hotel,banquet-halls,5.0,jaipur,1600,108800,22500,10500,47600
Jaipur Marriott Hotel,banquet-halls,5.0,jaipur,1600,105900,22300,8800,45600
Jaipur Marriott Hotel,banquet-halls,5.0,jaipur,1600,98800,25500,11600,54300
Jaipur Marriott Hotel,banquet-halls,5.0,jaipur,1600,96000,21800,8700,51300
Jaipur Marriott Hotel,banquet-halls,5.0,jaipur,1600,102400,23900,14500,51900
Rajwada Resort,banquet-halls,3.0,jaipur,400,35500,13500,8300,21600
Shreemaya,banquet-halls,3.0,jaipur,300,36900,8900,12600,19200
Hotel Om Palace,banquet-halls,3.0,jaipur,450,50200,7800,8900,27800
Hotel Siddharth Palace,banquet-halls,3.0,jaipur,350,41600,6800,9100,17400
Hotel Maharani Palace,banquet-halls,4.0,jaipur,550,49400,14200,13600,22100
Souvenir Prime Hotel,banquet-halls,3.0,jaipur,750,57000,12400,10800,27600
Hotel Yogi Executive,banquet-halls,4.7,mumbai,1000,65200,17100,10400,43600
Cava Lounge,banquet-halls,4.8,mumbai,650,52600,16100,11600,37300
Ola Vakkola,banquet-halls,4.4,mumbai,650,53500,12500,8800,25400
J Hotel & Banquets,banquet-halls,4.6,mumbai,1000,72700,15300,12400,30800
Hotel Silver Inn,banquet-halls,4.6,mumbai,1200,82000,18200,8300,42000
Kissa Cafe & Bar,banquet-halls,4.6,mumbai,1100,71500,19100,11000,43500
Nesco,banquet-halls,4.8,mumbai,1200,82900,15600,12800,39500
The Idea Lab,banquet-halls,4.6,mumbai,700,50900,16000,9800,35900
Imperia Banquet,banquet-halls,4.5,mumbai,500,42800,8700,10500,26900
Hotel Regal Enclave,banquet-halls,4.8,mumbai,2000,122400,26700,11200,51200
Kissa Cafe & Bar,banquet-halls,4.6,mumbai,1100,78800,14600,12800,39600
Hotel Silver Inn,banquet-halls,4.6,mumbai,1200,80100,17300,14200,35500
Hotel Kohinoor Elite,banquet-halls,4.6,mumbai,850,69900,14500,12700,32500
Nesco,banquet-halls,4.8,mumbai,1200,81000,21500,14100,41500
Nesco,banquet-halls,4.8,mumbai,1200,76800,16800,8900,39000
The Fern Residency,banquet-halls,4.6,mumbai,1100,84800,19900,14500,37700
Hotel Yogi Executive,banquet-halls,4.6,mumbai,1000,72600,15600,10700,40900
Nesco,banquet-halls,4.8,mumbai,1200,81400,17700,8500,42400
Ola Vakkola,banquet-halls,4.0,mumbai,650,54400,15100,13700,26500
Hotel Silver Inn,banquet-halls,4.6,mumbai,1200,76700,21000,14700,45400
Hotel Silver Inn,banquet-halls,4.6,mumbai,1200,78200,22000,8200,40200
Ola Vakkola,banquet-halls,3.0,mumbai,650,52100,13500,8500,29700
Hotel Silver Inn,banquet-halls,4.8,mumbai,1200,76100,20200,12500,39300
Hotel Orritel West,banquet-halls,4.6,mumbai,600,51700,9600,11200,23200
Hotel Orritel West,banquet-halls,4.6,mumbai,600,58500,10900,14400,24400
Nesco,banquet-halls,4.8,mumbai,1200,84900,20100,11600,45800
Nesco,banquet-halls,4.8,mumbai,1200,86500,18600,9900,42100
Holiday Inn,banquet-halls,5.0,mumbai,1300,83200,16700,11800,40300
Vishal Banquet,banquet-halls,3.7,mumbai,800,60900,15400,9200,35800
Grand Tamanna Hotel,banquet-halls,4.5,pune,700,60800,11300,12400,26900
Hotel Lxia,banquet-halls,4.6,pune,550,53400,9400,12700,25700
Enrise By Sayaji Pune,banquet-halls,4.6,pune,600,59900,10100,9500,28800
Grand Tamanna Hotel,banquet-halls,4.5,pune,700,59800,11500,8400,33800
Hotel Sadanand Regency,banquet-halls,4.8,pune,850,68800,17400,13600,39200
Spice Nation,banquet-halls,4.6,pune,599,47600,10600,12500,25900
Hotel Solitaire Banquet,banquet-halls,4.6,pune,479,52000,8000,11400,23100
Grand Tamanna Hotel,banquet-halls,4.5,pune,700,63300,13700,12800,27400
Hotel Sadanand Regency,banquet-halls,4.8,pune,850,71400,13100,14100,31600
Hotel Sadanand Regency,banquet-halls,4.9,pune,1700,103600,26300,12900,49000
Hotel Solitaire Banquet,banquet-halls,4.6,pune,479,48500,10200,8700,25800
St Laurn Hotel,banquet-halls,4.5,pune,899,70100,14200,10600,40900
Enrise By Sayaji Pune,banquet-halls,4.6,pune,600,50400,12900,13900,32200
Royal Orchid Golden Suites,banquet-halls,4.5,pune,800,56700,12900,9200,30000
St Laurn Hotel,banquet-halls,4.9,pune,899,69700,17000,8900,30700
Grand Tamanna Hotel,banquet-halls,4.5,pune,700,60200,13100,9500,28500
Hotel Sadanand Regency,banquet-halls,4.8,pune,850,63100,18300,8900,40900
Hotel Sadanand Regency,banquet-halls,4.8,pune,1200,86500,15200,8600,48200
Enrise By Sayaji Pune,banquet-halls,4.6,pune,600,55400,15800,12500,33400
Hotel Sadanand Regency,banquet-halls,4.8,pune,850,64900,15000,8500,35600
Joshi Farm,banquet-halls,2.0,pune,1000,78700,13300,8700,31000
Mayfield Estate,banquet-halls,3.0,pune,1000,78700,14400,9300,30200
Radha Krishna Gardens,banquet-halls,3.0,pune,800,56300,14600,10100,30600
Ranades Magenta Lawns,banquet-halls,3.0,pune,800,67200,16600,14600,32800
Durvankur Lawns,banquet-halls,3.0,pune,500,46800,8600,12600,28400
Samarra Banquets And Lawns,banquet-halls,3.0,pune,800,65900,17400,14300,37700
Shree Multipurpose Hall,banquet-halls,3.0,pune,500,53300,13500,12400,24200
Nirmal Baug Banquet Hall,banquet-halls,3.0,pune,500,45900,13600,11800,31400
Carretera Banquet Hall,banquet-halls,3.0,pune,600,54500,12000,8900,22200
Somani Banquets,banquet-halls,3.0,pune,650,55000,15000,12000,33500
House Of Garden,banquet-halls,5.0,chandigarh,750,61400,12400,10300,33200
Golden Tulip Chandigarh Panchkula,banquet-halls,4.6,chandigarh,1850,113100,24000,14100,51300
Golden Tulip Chandigarh Panchkula,banquet-halls,4.6,chandigarh,1850,113000,24300,8800,48300
Golden Tulip Chandigarh Panchkula,banquet-halls,4.6,chandigarh,1850,120400,26800,13800,51000
Hyatt Centric Sector 17 Chandigarh,banquet-halls,5.0,chandigarh,3500,194400,43100,13900,88400
Hyatt Centric Sector 17 Chandigarh,banquet-halls,5.0,chandigarh,3500,193700,39200,13400,83700
Hyatt Centric Sector 17 Chandigarh,banquet-halls,5.0,chandigarh,3500,203500,38600,13700,93700
Zafrani Restaurant By Tandon Hospitality,banquet-halls,4.6,chandigarh,949,75400,17100,9900,32900
Hyatt Centric Sector 17 Chandigarh,banquet-halls,5.0,chandigarh,3500,190700,39800,12500,94400
Hyatt Centric Sector 17 Chandigarh,banquet-halls,5.0,chandigarh,3500,192000,39000,13300,93200
Hyatt Centric Sector 17 Chandigarh,banquet-halls,5.0,chandigarh,3500,198000,42100,8500,94200
Hyatt Centric Sector 17 Chandigarh,banquet-halls,5.0,chandigarh,3500,201600,41300,9400,82800
Hotel Metro 35,banquet-halls,4.0,chandigarh,600,56900,15300,10600,31300
Hotel Icon,banquet-halls,4.0,chandigarh,800,68900,14800,11400,32600
Hotel Shagun,banquet-halls,3.0,chandigarh,599,46400,10200,8600,32200
Hotel President,banquet-halls,4.0,chandigarh,750,55800,10700,11100,25400
Aquamarine,banquet-halls,3.0,chandigarh,850,61300,17000,14400,33800
Holiday Inn Chandigarh Panchkula,banquet-halls,5.0,chandigarh,1300,85200,17000,12500,45000
Komfort Banquet,banquet-halls,3.0,chandigarh,1400,86900,18700,13600,47700
Whistling Duck,banquet-halls,3.0,chandigarh,1250,91300,17200,11600,43800
A.K. Farm,banquet-halls,3.0,chandigarh,850,64100,14100,12400,27600
Hotel Classic,banquet-halls,3.0,chandigarh,1000,77900,17100,13000,44300
The Fort Ramgarh,banquet-halls,4.0,chandigarh,2500,141300,34400,12100,70100
Altius Hotel,banquet-halls,4.0,chandigarh,875,62300,16800,11700,27600
Hotel The Pearl,banquet-halls,3.0,chandigarh,650,59100,13900,14700,25800
Hotel Shivalikview,banquet-halls,4.0,chandigarh,1400,92600,22400,9300,53000
Best Western Maryland,banquet-halls,4.0,chandigarh,975,71000,13800,13200,32900
Hotel Shivalikview,banquet-halls,4.0,chandigarh,1400,86600,19300,10200,41800
The Fort Ramgarh,banquet-halls,4.0,chandigarh,2500,143700,31200,14400,62300
The Fort Ramgarh,banquet-halls,4.0,chandigarh,2500,151200,28900,14400,61000
Hotel Pinnacle Grand,banquet-halls,4.8,ahmedabad,499,51300,14400,13900,27600
Hotel Pinnacle Grand,banquet-halls,4.8,ahmedabad,499,40600,15000,13600,27200
The Chocolate Room Diner,banquet-halls,4.6,ahmedabad,600,55400,15800,8700,32000
Malhaar Resort,banquet-halls,4.6,ahmedabad,600,57300,10700,12400,33500
Malhaar Resort,banquet-halls,4.6,ahmedabad,600,49700,11900,9500,31700
Hotel Silver Cloud,banquet-halls,4.0,ahmedabad,550,57100,9400,14400,23800
Hotel Kohinoor Plaza,banquet-halls,3.0,ahmedabad,450,51400,11900,8300,21700
Hotel Galaxy Inn,banquet-halls,3.0,ahmedabad,400,35900,7700,10400,27500
Hotel Canada Palace,banquet-halls,3.0,ahmedabad,500,48200,10900,8400,24100
Meritorious Restaurant,banquet-halls,4.0,ahmedabad,350,38400,12900,9900,26500
Hyatt Regency Ahmedabad,banquet-halls,5.0,ahmedabad,1350,89900,22500,10600,43800
Hotel Super Inn Armoise,banquet-halls,3.0,ahmedabad,450,44000,8600,13200,27400
Hotel Siddhartha Palace,banquet-halls,3.0,ahmedabad,300,41700,10600,11800,17900
Hotel Skyland,banquet-halls,3.8,ahmedabad,650,61400,10400,14500,32300
Aarya Grand Hotels & Resorts,banquet-halls,4.2,ahmedabad,500,45200,10300,12700,34500
Aarya Grand Hotels & Resorts,banquet-halls,4.2,ahmedabad,500,45200,8200,9700,32100
Epsilon The Hotel,banquet-halls,3.7,ahmedabad,700,51700,11100,11700,33800
Hotel Pyramid,banquet-halls,3.9,ahmedabad,300,41000,8000,10600,27300
Epitome,banquet-halls,4.2,ahmedabad,315,36500,8700,8000,18300
Hotel Flora,banquet-halls,4.2,ahmedabad,250,37400,11800,9100,20200
Whistling Meadows Resort & Lawns,banquet-halls,4.0,ahmedabad,700,55500,15800,12000,34500
El Dorado,banquet-halls,4.2,ahmedabad,745,66800,14700,10700,25900
Kshitij Restaurant & Banquet,banquet-halls,4.5,ahmedabad,275,33700,11900,13500,16400
Hotel Avadh Inn,banquet-halls,3.9,ahmedabad,750,56000,15600,13700,39400
Ramada Ahmedabad,banquet-halls,4.0,ahmedabad,1400,85200,20800,10100,41100
Treatotel Hotel,banquet-halls,4.0,ahmedabad,750,63900,11400,14100,31500
Mehmaan,banquet-halls,3.0,ahmedabad,290,33700,6500,9500,22000
Rajwadu,banquet-halls,4.3,ahmedabad,900,72700,14200,8900,39800
The House Of Mg,banquet-halls,4.2,ahmedabad,900,69000,13600,8200,35000
Fortune Park,banquet-halls,5.0,ahmedabad,800,59400,17700,11500,37400
La Fete By Midnight Sun,banquet-halls,4.6,chennai,1000,67300,13400,8900,40900
Saaral Residency,banquet-halls,4.8,chennai,450,45500,13500,9300,28900
Klase Hotels,banquet-halls,5.0,chennai,550,45400,14400,8400,32300
24 Convention,banquet-halls,4.5,chennai,395,42500,12900,8800,26000
La Fete By Midnight Sun,banquet-halls,4.6,chennai,1000,65200,19300,9800,37400
Sangeetha Veg Restaurant,banquet-halls,4.0,chennai,375,40900,11400,9600,27100
Rajputana,banquet-halls,4.1,chennai,1300,81900,22400,9200,43300
Mathsya,banquet-halls,3.8,chennai,300,41800,7300,8700,17100
Sigree Global Grill,banquet-halls,4.3,chennai,745,58500,14200,9700,29100
Fuji Japanese Restaurant,banquet-halls,4.1,chennai,1000,73800,13900,11200,41100
Vd Mahal,banquet-halls,3.7,chennai,1499,101400,21400,8300,52400
Sangeetha Veg Restaurant,banquet-halls,4.4,chennai,370,42800,12800,12900,29400
Kaaraikudi,banquet-halls,3.6,chennai,400,39300,7500,13800,27000
Em El Em Kalyana Mandapam,banquet-halls,3.0,chennai,1600,106600,23600,13600,56200
Lkn Banquet,banquet-halls,3.0,chennai,1499,92500,18400,12000,44600
21 Century Event Space,banquet-halls,4.0,chennai,1499,99900,21900,8200,44000
Harrisons Hotel,banquet-halls,3.0,chennai,1200,75700,16800,8300,44300
Ruckmani Ramjee Convention Halls,banquet-halls,3.0,chennai,2000,117800,27900,10300,53200
The Westin Chennai Velachery,banquet-halls,5.0,chennai,2300,137100,28300,9200,70600
The Westin Chennai Velachery,banquet-halls,5.0,chennai,2300,144200,27100,9700,60500
Vijay Park,banquet-halls,3.0,chennai,650,54000,13300,9800,35100
Mp Wedding & Convention,banquet-halls,3.0,chennai,1700,109600,24700,8400,46400
Green Coconut Resort,banquet-halls,3.1,chennai,850,59500,17900,13500,29200
Redsun Hotel Apartments,banquet-halls,3.5,chennai,500,53800,10500,9200,26400
Goldmine Hotels,banquet-halls,3.8,chennai,650,55800,11000,14500,24700
Hotel Manickam Grand,banquet-halls,2.5,chennai,400,46400,10700,14500,28200
Hotel Ambica Empire,banquet-halls,3.5,chennai,950,65400,13900,12700,34800
The Accord Metropolitan Hotel,banquet-halls,5.0,chennai,1700,101700,26700,8900,52100
Hotel Maris,banquet-halls,4.0,chennai,400,36800,9600,12800,26500
Nayagara Hotel,banquet-halls,3.0,chennai,1200,83700,15100,11300,41000
Oval Gardens,banquet-halls,4.6,hyderabad,999,67900,15600,13000,30800
Deccan Serai Hotel,banquet-halls,4.6,hyderabad,1200,77000,19600,13200,38600
Shanbhag Hotel,banquet-halls,4.6,hyderabad,399,40700,7800,14700,31000
